config_id,method,alpha,probe_budget_fraction,probe_budget_percentage,records,mean_total_pixels,mean_carrier_pixels,mean_used_pixels,mean_used_pixel_fraction,mean_used_pixel_percentage,mean_probe_budget_pixels,total_probe_budget_pixels,total_guessed_carrier_pixels,mean_guessed_carrier_pixels,mean_precision_hit_rate,mean_carrier_recall,mean_incremental_probe_pixels,mean_incremental_guessed_pixels,mean_incremental_precision_hit_rate,repeats,mean_sd_carrier_recall
mipod_alpha0p01,MIPOD,0.01,0.4,40.0,1000,262144.0,223.692,223.692,0.0008533172607421875,0.08533172607421875,104858.0,104858000,123324,123.77669999999999,0.0011804220946422784,0.5453167088066091,26215.0,26.3334,0.0010045164981880603,10,0.028214086413151516
mipod_alpha0p01,MIPOD,0.01,0.5,50.0,1000,262144.0,223.692,223.692,0.0008533172607421875,0.08533172607421875,131072.0,131072000,146766,147.21890000000002,0.0011231910705566408,0.6504031233680162,26214.0,23.4422,0.0008942626077668423,10,0.02650826769908471
mipod_alpha0p02,MIPOD,0.02,0.005,0.5,1000,262144.0,495.255,495.255,0.0018892478942871094,0.18892478942871094,1311.0,1311000,3640,4.0849,0.0031158657513348596,0.008017319097835051,1311.0,4.0849,0.0031158657513348596,10,0.0037983795643748795
mipod_alpha0p02,MIPOD,0.02,0.01,1.0,1000,262144.0,495.255,495.255,0.0018892478942871094,0.18892478942871094,2621.0,2621000,7723,8.172600000000001,0.0031181228538725674,0.016047127280333903,1310.0,4.0877,0.0031203816793893132,10,0.005315185950267713
mipod_alpha0p02,MIPOD,0.02,0.02,2.0,1000,262144.0,495.255,495.255,0.0018892478942871094,0.18892478942871094,5243.0,5243000,15873,16.3167,0.0031120923135609384,0.03203443350481777,2622.0,8.1441,0.0031060640732265446,10,0.007477564858626433
mipod_alpha0p02,MIPOD,0.02,0.05,5.0,1000,262144.0,495.255,495.255,0.0018892478942871094,0.18892478942871094,13107.0,13107000,39784,40.23760000000001,0.0030699320973525597,0.07908090207882623,7864.0,23.920900000000003,0.003041823499491353,10,0.011203924137601113
mipod_alpha0p02,MIPOD,0.02,0.1,10.0,1000,262144.0,495.255,495.255,0.0018892478942871094,0.18892478942871094,26214.0,26214000,78385,78.8296,0.0030071564812695507,0.15516330153897398,13107.0,38.592,0.0029443808651865412,10,0.014722612142733533
mipod_alpha0p02,MIPOD,0.02,0.2,20.0,1000,262144.0,495.255,495.255,0.0018892478942871094,0.18892478942871094,52429.0,52429000,150024,150.4589,0.0028697648248106966,0.29712887395865956,26215.0,71.6293,0.0027323784093076483,10,0.01824180805767884
mipod_alpha0p02,MIPOD,0.02,0.3,30.0,1000,262144.0,495.255,495.255,0.0018892478942871094,0.18892478942871094,78643.0,78643000,214765,215.2032,0.0027364571544829168,0.42638370158930433,26214.0,64.7443,0.0024698367284657053,10,0.01934477120326969
mipod_alpha0p02,MIPOD,0.02,0.4,40.0,1000,262144.0,495.255,495.255,0.0018892478942871094,0.18892478942871094,104858.0,104858000,273085,273.52419999999995,0.002608520093841195,0.543657044637041,26215.0,58.321,0.0022247186725157355,10,0.018968612723787026
mipod_alpha0p02,MIPOD,0.02,0.5,50.0,1000,262144.0,495.255,495.255,0.0018892478942871094,0.18892478942871094,131072.0,131072000,325248,325.689,0.0024848098754882814,0.6493202011063979,26214.0,52.1648,0.001989959563591974,10,0.017871228241814315
mipod_alpha0p03,MIPOD,0.03,0.005,0.5,1000,262144.0,792.89,792.89,0.003024635314941406,0.3024635314941406,1311.0,1311000,6127,6.569799999999999,0.005011289092295957,0.00803125703821253,1311.0,6.569799999999999,0.005011289092295957,10,0.0030076861031001103
mipod_alpha0p03,MIPOD,0.03,0.01,1.0,1000,262144.0,792.89,792.89,0.003024635314941406,0.3024635314941406,2621.0,2621000,12645,13.099599999999999,0.004997939717665012,0.01601833498308981,1310.0,6.529799999999999,0.004984580152671756,10,0.004189533811788776
mipod_alpha0p03,MIPOD,0.03,0.02,2.0,1000,262144.0,792.89,792.89,0.003024635314941406,0.3024635314941406,5243.0,5243000,25643,26.0936,0.004976845317566279,0.0319154760664627,2622.0,12.994,0.004955758962623951,10,0.00586946484009971
mipod_alpha0p03,MIPOD,0.03,0.05,5.0,1000,262144.0,792.89,792.89,0.003024635314941406,0.3024635314941406,13107.0,13107000,63896,64.3587,0.00491025406271458,0.0788092627428555,7864.0,38.2651,0.0048658570701932856,10,0.008873110638670646
mipod_alpha0p03,MIPOD,0.03,0.1,10.0,1000,262144.0,792.89,792.89,0.003024635314941406,0.3024635314941406,26214.0,26214000,125551,125.9994,0.004806569008926528,0.15454880020749395,13107.0,61.640699999999995,0.004702883955138476,10,0.011568516597353199
mipod_alpha0p03,MIPOD,0.03,0.2,20.0,1000,262144.0,792.89,792.89,0.003024635314941406,0.3024635314941406,52429.0,52429000,240283,240.7208,0.004591367373018749,0.2963523841355552,26215.0,114.72139999999999,0.004376173946213999,10,0.01420114922744543
mipod_alpha0p03,MIPOD,0.03,0.3,30.0,1000,262144.0,792.89,792.89,0.003024635314941406,0.3024635314941406,78643.0,78643000,344185,344.6216,0.004382101394911181,0.425801969500566,26214.0,103.9008,0.003963561455710689,10,0.01489793015225143
mipod_alpha0p03,MIPOD,0.03,0.4,40.0,1000,262144.0,792.89,792.89,0.003024635314941406,0.3024635314941406,104858.0,104858000,437500,437.96469999999994,0.004176740925823495,0.5430117052422115,26215.0,93.3431,0.0035606751859622358,10,0.014750477569485389
mipod_alpha0p03,MIPOD,0.03,0.5,50.0,1000,262144.0,792.89,792.89,0.003024635314941406,0.3024635314941406,131072.0,131072000,520813,521.2579,0.003976882171630859,0.6484401204627375,26214.0,83.2932,0.0031774319066147864,10,0.014059230351825604
mipod_alpha0p05,MIPOD,0.05,0.005,0.5,1000,262144.0,1446.233,1446.233,0.00551694107055664,0.551694107055664,1311.0,1311000,11533,11.987,0.009143401983218918,0.008016262918696105,1311.0,11.987,0.009143401983218918,10,0.002233659160664179
mipod_alpha0p05,MIPOD,0.05,0.01,1.0,1000,262144.0,1446.233,1446.233,0.00551694107055664,0.551694107055664,2621.0,2621000,23455,23.9045,0.009120373903090425,0.01598401940891753,1310.0,11.9175,0.009097328244274809,10,0.0031481697404294393
mipod_alpha0p05,MIPOD,0.05,0.02,2.0,1000,262144.0,1446.233,1446.233,0.00551694107055664,0.551694107055664,5243.0,5243000,47206,47.6293,0.009084360099179858,0.031856648968352795,2622.0,23.7248,0.00904836003051106,10,0.004339480989725299
mipod_alpha0p05,MIPOD,0.05,0.05,5.0,1000,262144.0,1446.233,1446.233,0.00551694107055664,0.551694107055664,13107.0,13107000,116956,117.4025,0.00895723659113451,0.07861480754443086,7864.0,69.77320000000002,0.008872482197355034,10,0.006582781593512816
mipod_alpha0p05,MIPOD,0.05,0.1,10.0,1000,262144.0,1446.233,1446.233,0.00551694107055664,0.551694107055664,26214.0,26214000,229479,229.9327,0.008771370260166325,0.15422334598550796,13107.0,112.5302,0.008585503929198138,10,0.008650592330683498
mipod_alpha0p05,MIPOD,0.05,0.2,20.0,1000,262144.0,1446.233,1446.233,0.00551694107055664,0.551694107055664,52429.0,52429000,438635,439.08560000000006,0.008374861240916288,0.2957127146419416,26215.0,209.1529,0.007978367346938775,10,0.010603240204806906
mipod_alpha0p05,MIPOD,0.05,0.3,30.0,1000,262144.0,1446.233,1446.233,0.00551694107055664,0.551694107055664,78643.0,78643000,627593,628.0418000000001,0.007985984766603511,0.42467623649308206,26214.0,188.95620000000002,0.007208216983291371,10,0.011331744591901689
