config_id,method,alpha,probe_budget_fraction,probe_budget_percentage,records,mean_total_pixels,mean_carrier_pixels,mean_used_pixels,mean_used_pixel_fraction,mean_used_pixel_percentage,mean_probe_budget_pixels,total_probe_budget_pixels,total_guessed_carrier_pixels,mean_guessed_carrier_pixels,mean_precision_hit_rate,mean_carrier_recall,mean_incremental_probe_pixels,mean_incremental_guessed_pixels,mean_incremental_precision_hit_rate,repeats,mean_sd_carrier_recall
hugo_alpha0p01,HUGO,0.01,0.02,2.0,1000,262144.0,315.874,315.874,0.0012049636840820313,0.12049636840820313,5243.0,5243000,5848,6.318200000000001,0.0012050734312416555,0.02001332751255078,2622.0,3.1571,0.0012040808543096872,10,0.007699232787063793
hugo_alpha0p01,HUGO,0.01,0.05,5.0,1000,262144.0,315.874,315.874,0.0012049636840820313,0.12049636840820313,13107.0,13107000,15341,15.7801,0.0012039444571602957,0.04997131284049867,7864.0,9.4619,0.0012031917599186165,10,0.011898030962849982
hugo_alpha0p01,HUGO,0.01,0.1,10.0,1000,262144.0,315.874,315.874,0.0012049636840820313,0.12049636840820313,26214.0,26214000,31161,31.6075,0.0012057488364995803,0.10008468899786938,13107.0,15.827399999999999,0.0012075532158388647,10,0.016314966845658627
hugo_alpha0p01,HUGO,0.01,0.2,20.0,1000,262144.0,315.874,315.874,0.0012049636840820313,0.12049636840820313,52429.0,52429000,62751,63.204100000000004,0.0012055179385454615,0.20010194012567173,26215.0,31.5966,0.001205287049399199,10,0.02183377471576734
hugo_alpha0p01,HUGO,0.01,0.3,30.0,1000,262144.0,315.874,315.874,0.0012049636840820313,0.12049636840820313,78643.0,78643000,94327,94.78710000000001,0.0012052833691491931,0.3001291804490095,26214.0,31.583,0.0012048142214084075,10,0.025158113319478828
hugo_alpha0p01,HUGO,0.01,0.4,40.0,1000,262144.0,315.874,315.874,0.0012049636840820313,0.12049636840820313,104858.0,104858000,125957,126.405,0.0012054874210837515,0.4002340976418552,26215.0,31.617900000000002,0.0012060995613198552,10,0.026933166432768756
hugo_alpha0p01,HUGO,0.01,0.5,50.0,1000,262144.0,315.874,315.874,0.0012049636840820313,0.12049636840820313,131072.0,131072000,157653,158.096,0.0012061767578125,0.5005723482274556,26214.0,31.691,0.0012089341573205154,10,0.027789762662455832
hugo_alpha0p02,HUGO,0.02,0.005,0.5,1000,262144.0,682.097,682.097,0.0026019935607910155,0.26019935607910155,1311.0,1311000,2945,3.41,0.002601067887109077,0.004999601719859644,1311.0,3.41,0.002601067887109077,10,0.002654101080973332
hugo_alpha0p02,HUGO,0.02,0.01,1.0,1000,262144.0,682.097,682.097,0.0026019935607910155,0.26019935607910155,2621.0,2621000,6367,6.826899999999999,0.0026046928653185803,0.01000725365616995,1310.0,3.4168999999999996,0.0026083206106870234,10,0.003747204497844399
hugo_alpha0p02,HUGO,0.02,0.02,2.0,1000,262144.0,682.097,682.097,0.0026019935607910155,0.26019935607910155,5243.0,5243000,13161,13.6196,0.0025976730879267596,0.019969764960342522,2622.0,6.792700000000001,0.002590655987795576,10,0.005226377889640858
hugo_alpha0p02,HUGO,0.02,0.05,5.0,1000,262144.0,682.097,682.097,0.0026019935607910155,0.26019935607910155,13107.0,13107000,33664,34.096199999999996,0.0026013733119707024,0.0499950126535295,7864.0,20.476599999999998,0.0026038402848423195,10,0.00813341116051463
hugo_alpha0p02,HUGO,0.02,0.1,10.0,1000,262144.0,682.097,682.097,0.0026019935607910155,0.26019935607910155,26214.0,26214000,67715,68.164,0.0026002899214160368,0.09995491553028232,13107.0,34.067800000000005,0.0025992065308613715,10,0.011280800389107315
hugo_alpha0p02,HUGO,0.02,0.2,20.0,1000,262144.0,682.097,682.097,0.0026019935607910155,0.26019935607910155,52429.0,52429000,135917,136.3665,0.002600974651433367,0.1999396445832235,26215.0,68.2025,0.002601659355330917,10,0.014983899362620111
hugo_alpha0p02,HUGO,0.02,0.3,30.0,1000,262144.0,682.097,682.097,0.0026019935607910155,0.26019935607910155,78643.0,78643000,204184,204.6452,0.0026022049006268837,0.3000178418590177,26214.0,68.2787,0.0026046654459449146,10,0.017281780169962048
hugo_alpha0p02,HUGO,0.02,0.4,40.0,1000,262144.0,682.097,682.097,0.0026019935607910155,0.26019935607910155,104858.0,104858000,272226,272.6758,0.0026004291518052993,0.3997821611202241,26215.0,68.03059999999999,0.0025951020408163266,10,0.01825125756542525
hugo_alpha0p02,HUGO,0.02,0.5,50.0,1000,262144.0,682.097,682.097,0.0026019935607910155,0.26019935607910155,131072.0,131072000,340535,340.9945,0.0026015815734863282,0.49992600867435866,26214.0,68.3187,0.002606191348134584,10,0.01887048855743047
hugo_alpha0p03,HUGO,0.03,0.005,0.5,1000,262144.0,1073.514,1073.514,0.004095130920410156,0.4095130920410156,1311.0,1311000,4899,5.3637999999999995,0.004091380625476735,0.004995219131941427,1311.0,5.3637999999999995,0.004091380625476735,10,0.0021062698875054875
hugo_alpha0p03,HUGO,0.03,0.01,1.0,1000,262144.0,1073.514,1073.514,0.004095130920410156,0.4095130920410156,2621.0,2621000,10268,10.7162,0.004088592140404425,0.009983087861678373,1310.0,5.352399999999999,0.004085801526717558,10,0.002941347989541812
hugo_alpha0p03,HUGO,0.03,0.02,2.0,1000,262144.0,1073.514,1073.514,0.004095130920410156,0.4095130920410156,5243.0,5243000,20972,21.4248,0.004086362769406828,0.019957303884028513,2622.0,10.7086,0.00408413424866514,10,0.004190571489289719
hugo_alpha0p03,HUGO,0.03,0.05,5.0,1000,262144.0,1073.514,1073.514,0.004095130920410156,0.4095130920410156,13107.0,13107000,53192,53.6571,0.004093774319066147,0.04998604744023753,7864.0,32.2323,0.004098715666327569,10,0.006556251735334598
hugo_alpha0p03,HUGO,0.03,0.1,10.0,1000,262144.0,1073.514,1073.514,0.004095130920410156,0.4095130920410156,26214.0,26214000,106956,107.40570000000001,0.004097264820325017,0.10008108234753121,13107.0,53.74859999999999,0.0041007553215838865,10,0.008944046529237356
hugo_alpha0p03,HUGO,0.03,0.2,20.0,1000,262144.0,1073.514,1073.514,0.004095130920410156,0.4095130920410156,52429.0,52429000,214245,214.7038,0.0040951343721985925,0.2000332340295966,26215.0,107.2981,0.004093004005340454,10,0.012021477353367185
hugo_alpha0p03,HUGO,0.03,0.3,30.0,1000,262144.0,1073.514,1073.514,0.004095130920410156,0.4095130920410156,78643.0,78643000,321733,322.181,0.004096753684371146,0.30014343298493096,26214.0,107.47720000000001,0.004099992370489051,10,0.013960324848419095
hugo_alpha0p03,HUGO,0.03,0.4,40.0,1000,262144.0,1073.514,1073.514,0.004095130920410156,0.4095130920410156,104858.0,104858000,429066,429.5199,0.004096205344370482,0.40013032321716585,26215.0,107.33890000000001,0.004094560366202556,10,0.014775049004850981
hugo_alpha0p03,HUGO,0.03,0.5,50.0,1000,262144.0,1073.514,1073.514,0.004095130920410156,0.4095130920410156,131072.0,131072000,536455,536.8926,0.004096165466308594,0.5001430500138813,26214.0,107.3727,0.00409600595101854,10,0.01521505780198751
hugo_alpha0p05,HUGO,0.05,0.005,0.5,1000,262144.0,1908.791,1908.791,0.007281459808349609,0.728145980834961,1311.0,1311000,9089,9.5559,0.007289016018306636,0.005005572006189379,1311.0,9.5559,0.007289016018306636,10,0.0015750467608215838
hugo_alpha0p05,HUGO,0.05,0.01,1.0,1000,262144.0,1908.791,1908.791,0.007281459808349609,0.728145980834961,2621.0,2621000,18614,19.0732,0.00727706982067913,0.009995002384559727,1310.0,9.517299999999999,0.007265114503816794,10,0.002195868263145424
hugo_alpha0p05,HUGO,0.05,0.02,2.0,1000,262144.0,1908.791,1908.791,0.007281459808349609,0.728145980834961,5243.0,5243000,37689,38.131699999999995,0.007272878123211902,0.019978130867484907,2622.0,19.0585,0.007268688024408848,10,0.003136438648008801
hugo_alpha0p05,HUGO,0.05,0.05,5.0,1000,262144.0,1908.791,1908.791,0.007281459808349609,0.728145980834961,13107.0,13107000,94843,95.31339999999999,0.007271946288242925,0.049937088660666304,7864.0,57.1817,0.00727132502543235,10,0.0048497948800923125
hugo_alpha0p05,HUGO,0.05,0.1,10.0,1000,262144.0,1908.791,1908.791,0.007281459808349609,0.728145980834961,26214.0,26214000,190302,190.7605,0.007277046616311895,0.09993617473219271,13107.0,95.44709999999999,0.007282146944380866,10,0.0067261386971953765
hugo_alpha0p05,HUGO,0.05,0.2,20.0,1000,262144.0,1908.791,1908.791,0.007281459808349609,0.728145980834961,52429.0,52429000,381272,381.7162,0.007280630948520857,0.19997821070707855,26215.0,190.9557,0.007284215144001526,10,0.008862990888429125
hugo_alpha0p05,HUGO,0.05,0.3,30.0,1000,262144.0,1908.791,1908.791,0.007281459808349609,0.728145980834961,78643.0,78643000,572270,572.7245,0.00728258713426497,0.30003288342871304,26214.0,191.0083,0.0072864995803768986,10,0.010179238636148476
hugo_alpha0p05,HUGO,0.05,0.4,40.0,1000,262144.0,1908.791,1908.791,0.007281459808349609,0.728145980834961,104858.0,104858000,763226,763.6783999999999,0.007282976978389822,0.40006664900480626,26215.0,190.95390000000003,0.007284146481022316,10,0.010958465954352108
hugo_alpha0p05,HUGO,0.05,0.5,50.0,1000,262144.0,1908.791,1908.791,0.007281459808349609,0.728145980834961,131072.0,131072000,954130,954.5678,0.007282774353027344,0.5000773317611935,26214.0,190.8894,0.007281963836118106,10,0.011142754401928122
hugo_alpha0p1,HUGO,0.1,0.005,0.5,1000,262144.0,4197.458,4197.458,0.01601203155517578,1.601203155517578,1311.0,1311000,20531,20.9814,0.01600411899313501,0.004999144562175778,1311.0,20.9814,0.01600411899313501,10,0.0010570638102296867
hugo_alpha0p1,HUGO,0.1,0.01,1.0,1000,262144.0,4197.458,4197.458,0.01601203155517578,1.601203155517578,2621.0,2621000,41558,42.0029,0.01602552460892789,0.010008349544062168,1310.0,21.0215,0.016046946564885495,10,0.0014781063369741364
hugo_alpha0p1,HUGO,0.1,0.02,2.0,1000,262144.0,4197.458,4197.458,0.01601203155517578,1.601203155517578,5243.0,5243000,83588,84.0434,0.016029639519359144,0.020022844759961394,2622.0,42.0405,0.0160337528604119,10,0.002076933498848503
hugo_alpha0p1,HUGO,0.1,0.05,5.0,1000,262144.0,4197.458,4197.458,0.01601203155517578,1.601203155517578,13107.0,13107000,209449,209.8934,0.016013839932860305,0.05000732329970978,7864.0,125.85,0.016003306205493388,10,0.0032331074228342306
hugo_alpha0p1,HUGO,0.1,0.1,10.0,1000,262144.0,4197.458,4197.458,0.01601203155517578,1.601203155517578,26214.0,26214000,419340,419.80580000000003,0.016014564736400394,0.1000199210845958,13107.0,209.9124,0.01601528953994049,10,0.004496160474452545
hugo_alpha0p1,HUGO,0.1,0.2,20.0,1000,262144.0,4197.458,4197.458,0.01601203155517578,1.601203155517578,52429.0,52429000,838947,839.3963,0.01601015277804269,0.1999833308997118,26215.0,419.5905,0.016005740987983977,10,0.00592750473285107
hugo_alpha0p1,HUGO,0.1,0.3,30.0,1000,262144.0,4197.458,4197.458,0.01601203155517578,1.601203155517578,78643.0,78643000,1258725,1259.1659,0.016011163104154215,0.29998432803712083,26214.0,419.76959999999997,0.016013183794918746,10,0.006840366691355066
hugo_alpha0p1,HUGO,0.1,0.4,40.0,1000,262144.0,4197.458,4197.458,0.01601203155517578,1.601203155517578,104858.0,104858000,1678281,1678.7386999999999,0.016009638749547004,0.39994664392706974,26215.0,419.57280000000003,0.01600506580202174,10,0.007440360492145192
hugo_alpha0p1,HUGO,0.1,0.5,50.0,1000,262144.0,4197.458,4197.458,0.01601203155517578,1.601203155517578,131072.0,131072000,2098029,2098.483,0.016010154724121095,0.4999464831740737,26214.0,419.7443,0.016012218661783775,10,0.007561580360024297
