distribution,image_source,method,alpha,probe_budget_fraction,mean_carrier_recall,mean_precision_hit_rate,lift
wavelet_energy,stego,MIPOD,0.03,0.4,0.4998190353529986,0.00382350130652883,1.2495475883824965
wavelet_energy,stego,MIPOD,0.03,0.5,0.605624709572121,0.0036958702087402343,1.211249419144242
wavelet_energy,stego,MIPOD,0.05,0.01,0.013924402249365917,0.007871766501335368,1.3924402249365917
wavelet_energy,stego,MIPOD,0.05,0.05,0.06876780575829355,0.0077654535744258795,1.375356115165871
wavelet_energy,stego,MIPOD,0.05,0.1,0.1357721189224824,0.007653761348897535,1.3577211892248238
wavelet_energy,stego,MIPOD,0.05,0.2,0.2643472404499285,0.007428341185221919,1.3217362022496426
wavelet_energy,stego,MIPOD,0.05,0.3,0.38548508591369024,0.007199197639967955,1.2849502863789675
wavelet_energy,stego,MIPOD,0.05,0.4,0.498958142875087,0.006966980106429648,1.2473953571877174
wavelet_energy,stego,MIPOD,0.05,0.5,0.604702620833426,0.006734292602539062,1.209405241666852
wavelet_energy,stego,MIPOD,0.1,0.01,0.013778063283775259,0.017954444868370847,1.377806328377526
wavelet_energy,stego,MIPOD,0.1,0.05,0.06837837846546865,0.017799404898146028,1.367567569309373
wavelet_energy,stego,MIPOD,0.1,0.1,0.13497151583649147,0.017538960097657742,1.3497151583649147
wavelet_energy,stego,MIPOD,0.1,0.2,0.263016269632201,0.017031593202235403,1.3150813481610049
wavelet_energy,stego,MIPOD,0.1,0.3,0.3836090161516719,0.016503718067723765,1.278696720505573
wavelet_energy,stego,MIPOD,0.1,0.4,0.49676033147708065,0.015973582368536497,1.2419008286927016
wavelet_energy,stego,MIPOD,0.1,0.5,0.6025496132639175,0.015447214508056641,1.205099226527835
wavelet_energy,stego,MIPOD,0.2,0.01,0.013589881149804037,0.041903967951163676,1.3589881149804037
wavelet_energy,stego,MIPOD,0.2,0.05,0.06733903935798925,0.041466643778133826,1.346780787159785
wavelet_energy,stego,MIPOD,0.2,0.1,0.1331339822317482,0.040929098954757,1.3313398223174817
wavelet_energy,stego,MIPOD,0.2,0.2,0.2599424881082133,0.03981961128383146,1.2997124405410665
wavelet_energy,stego,MIPOD,0.2,0.3,0.3800533400027244,0.038673828567068906,1.2668444666757481
wavelet_energy,stego,MIPOD,0.2,0.4,0.49320055561235077,0.03750120830074959,1.2330013890308769
wavelet_energy,stego,MIPOD,0.2,0.5,0.5991082239483451,0.03630763549804687,1.1982164478966901
wavelet_energy,stego,MIPOD,0.3,0.01,0.013401487900096152,0.06941125524608928,1.3401487900096152
wavelet_energy,stego,MIPOD,0.3,0.05,0.06645463461790038,0.06876086060883498,1.3290926923580075
wavelet_energy,stego,MIPOD,0.3,0.1,0.13149529473321642,0.06793747615777829,1.3149529473321642
wavelet_energy,stego,MIPOD,0.3,0.2,0.2571096186882653,0.06621652329817468,1.2855480934413266
wavelet_energy,stego,MIPOD,0.3,0.3,0.37653364284476554,0.06443413781264704,1.2551121428158851
wavelet_energy,stego,MIPOD,0.3,0.4,0.4895117391879958,0.06260143622804172,1.2237793479699894
wavelet_energy,stego,MIPOD,0.3,0.5,0.5956377927362185,0.06071337890625,1.191275585472437
wavelet_energy,stego,MIPOD,0.4,0.01,0.013181490003285983,0.09952651659671881,1.3181490003285983
wavelet_energy,stego,MIPOD,0.4,0.05,0.06544581344176308,0.09873816281376364,1.3089162688352614
wavelet_energy,stego,MIPOD,0.4,0.1,0.129634355958813,0.09767568856336309,1.29634355958813
wavelet_energy,stego,MIPOD,0.4,0.2,0.2540636358757104,0.09546518529821282,1.2703181793785518
wavelet_energy,stego,MIPOD,0.4,0.3,0.37285564666626375,0.09312588405833958,1.2428521555542125
wavelet_energy,stego,MIPOD,0.4,0.4,0.4855939539477432,0.09066620095748537,1.213984884869358
wavelet_energy,stego,MIPOD,0.4,0.5,0.5918274702022454,0.08809272689819336,1.1836549404044907
wavelet_energy,stego,MIPOD,0.5,0.01,0.012976832356891526,0.13209030904235025,1.2976832356891526
wavelet_energy,stego,MIPOD,0.5,0.05,0.06446407449408974,0.1311138399328603,1.2892814898817946
wavelet_energy,stego,MIPOD,0.5,0.1,0.12778934989248042,0.12983343251697566,1.277893498924804
wavelet_energy,stego,MIPOD,0.5,0.2,0.2508973239712962,0.1271746705067806,1.254486619856481
wavelet_energy,stego,MIPOD,0.5,0.3,0.36890126251832306,0.12435015195249419,1.229670875061077
wavelet_energy,stego,MIPOD,0.5,0.4,0.4813173770204325,0.12133538690419422,1.203293442551081
wavelet_energy,stego,MIPOD,0.5,0.5,0.5877415366681136,0.11815653305053711,1.1754830733362271
srm_residual,stego,MIPOD,0.03,0.01,0.01558774211055424,0.0048357115604731014,1.558774211055424
srm_residual,stego,MIPOD,0.03,0.05,0.07700376232209931,0.004770046540016785,1.540075246441986
srm_residual,stego,MIPOD,0.03,0.1,0.15104010947640914,0.004671042191195544,1.5104010947640913
srm_residual,stego,MIPOD,0.03,0.2,0.29046321254450896,0.004475877853859505,1.4523160627225447
srm_residual,stego,MIPOD,0.03,0.3,0.4187506577922063,0.004287312284628002,1.3958355259740212
srm_residual,stego,MIPOD,0.03,0.4,0.5355773917579079,0.004099032024261383,1.3389434793947697
srm_residual,stego,MIPOD,0.03,0.5,0.6419551281279288,0.003918235015869141,1.2839102562558575
srm_residual,stego,MIPOD,0.05,0.01,0.015545770180998534,0.008815032430370087,1.5545770180998535
srm_residual,stego,MIPOD,0.05,0.05,0.07665197532483449,0.008677813382162204,1.5330395064966897
srm_residual,stego,MIPOD,0.05,0.1,0.15039615942004472,0.008496955825131608,1.5039615942004472
srm_residual,stego,MIPOD,0.05,0.2,0.28946529331854576,0.0081468061568979,1.4473264665927288
srm_residual,stego,MIPOD,0.05,0.3,0.41744732283202485,0.007804213979629466,1.3914910761067496
srm_residual,stego,MIPOD,0.05,0.4,0.5345807549903768,0.007469211695817201,1.336451887475942
srm_residual,stego,MIPOD,0.05,0.5,0.6409108888828645,0.0071393180847167965,1.281821777765729
