method,alpha,localizer,n_images,mean_average_precision,ap_ci_lo,ap_ci_hi,mean_roc_auc,floor_ap,oracle_ap,ap_efficiency,mean_recall_at_1,recall_at_1_ci_lo,recall_at_1_ci_hi,mean_lift_at_1,mean_recall_at_5,recall_at_5_ci_lo,recall_at_5_ci_hi,mean_lift_at_5,mean_recall_at_10,recall_at_10_ci_lo,recall_at_10_ci_hi,mean_lift_at_10,mean_recall_at_20,recall_at_20_ci_lo,recall_at_20_ci_hi,mean_lift_at_20,mean_recall_at_30,recall_at_30_ci_lo,recall_at_30_ci_hi,mean_lift_at_30,mean_recall_at_40,recall_at_40_ci_lo,recall_at_40_ci_hi,mean_lift_at_40,mean_recall_at_50,recall_at_50_ci_lo,recall_at_50_ci_hi,mean_lift_at_50
MIPOD,0.03,wavelet_energy_cover,10000,0.00546366504101278,0.0053863743357562225,0.005550036230365203,0.6206592964704251,0.003012699890136719,0.014835474588605988,0.2073087928499048,0.02257680247921844,0.0222415210922797,0.022943989485058425,2.257680247921844,0.10229856816211588,0.10113754035922011,0.10351308937164087,2.0459713632423178,0.19026866064895193,0.18844237918348838,0.19228520375558036,1.9026866064895191,0.3410753195968842,0.3384800524119278,0.3437597296297135,1.705376597984421,0.4681983045767702,0.4653229495435049,0.4711232069732273,1.5606610152559008,0.5775932197479253,0.5746952880148617,0.5804311635329555,1.4439830493698134,0.6730073601303298,0.6704017365259369,0.6755957147615222,1.3460147202606596
MIPOD,0.03,wavelet_energy_stego,10000,0.005465648887978819,0.005388064469494277,0.005552423534852609,0.6207060686420375,0.003012699890136719,0.014835474588605988,0.20747659161260096,0.022583248593702927,0.022244735765097556,0.022948798873635837,2.2583248593702927,0.10233415350604164,0.10116599791623293,0.1035515465381477,2.0466830701208325,0.19033077206189894,0.18851396526532999,0.19233438665430894,1.9033077206189892,0.34111867668610574,0.33856436247298966,0.3438016885398714,1.7055933834305288,0.4682743218305457,0.4653754673562473,0.47119896040612824,1.5609144061018192,0.5776682515520185,0.5747682922787396,0.5805110832885306,1.4441706288800462,0.673111490037387,0.6705161229286911,0.6757224034070034,1.346222980074774
MIPOD,0.05,laplacian_residual_cover,10000,0.009793606921672028,0.009664936825205328,0.009929800641443538,0.6082940598067458,0.005491809844970703,0.025230743613779787,0.21793462236034783,0.0255503233768386,0.025196940977595787,0.02591322636579273,2.5550323376838593,0.11024957702621678,0.10911326687327598,0.11145286124831771,2.2049915405243357,0.19895021949715547,0.19725705964262968,0.200758573653521,1.9895021949715546,0.343564794426615,0.3412456410555457,0.34590412195487436,1.7178239721330748,0.4612586937782311,0.45870249160140947,0.46367838647108284,1.5375289792607705,0.5617013800186854,0.5592421082564151,0.5640083906654346,1.4042534500467136,0.6502152035449392,0.6480195912654078,0.6523279605600101,1.3004304070898784
MIPOD,0.05,laplacian_residual_stego,10000,0.011047651649230252,0.010866101655474743,0.011232044468730504,0.6320028138743995,0.005491809844970703,0.025230743613779787,0.2814661556359612,0.028421892149115387,0.027955859032427224,0.02891878292770582,2.842189214911539,0.12254966147457981,0.12109033808140562,0.12406049259061942,2.450993229491596,0.2199896311229917,0.21792496235195255,0.22221707335567537,2.1998963112299172,0.3751293666982647,0.3725192585008789,0.3779205423874682,1.8756468334913237,0.49723803292844915,0.4946167002228561,0.5001343945379553,1.657460109761497,0.597950047618634,0.5953782493298095,0.6006374327973494,1.494875119046585,0.6838657622465333,0.6815515048008268,0.6861684674363142,1.3677315244930666
MIPOD,0.05,local_variance_cover,10000,0.008127899175807184,0.008025778202883402,0.008239908086414775,0.6028607712810206,0.005491809844970703,0.025230743613779787,0.13354770636101712,0.011057285515954259,0.010824001883189206,0.011292444903726207,1.1057285515954258,0.06364235579586984,0.0627264571418411,0.06461632814922011,1.2728471159173966,0.13526703751194816,0.13368169841606095,0.13696905217975106,1.3526703751194817,0.280233979686056,0.277651540579111,0.2829322404625085,1.4011698984302798,0.4186805149797805,0.4156750108935375,0.4219648073796117,1.3956017165992685,0.5453359863783891,0.5421008381492617,0.5487289989015653,1.3633399659459726,0.6587212765664321,0.6556561285066992,0.6618720293324905,1.3174425531328642
MIPOD,0.05,local_variance_stego,10000,0.00813146315443482,0.008029523074251348,0.00824355583477902,0.6030174667168277,0.005491809844970703,0.025230743613779787,0.13372826214327863,0.01105991865217619,0.010826677894084771,0.011294784660307998,1.105991865217619,0.06365610278004584,0.06274048531767762,0.06463038185755117,1.2731220556009168,0.135310746776045,0.1337102251240111,0.13700465053471406,1.35310746776045,0.2803180178504912,0.2777347942500116,0.2830136506860516,1.4015900892524558,0.4188119183783225,0.4157896376585591,0.4221064365143981,1.3960397279277414,0.5455106494589785,0.5422996921028848,0.5488851928771716,1.3637766236474462,0.6589214708359091,0.6558442796020475,0.6620624872590434,1.3178429416718183
MIPOD,0.05,oracle,10000,0.025230743613779787,0.0247481893628356,0.02575905830737158,0.7492643664481194,0.005491809844970703,0.025230743613779787,1.0,0.07191160366533884,0.07094818560794974,0.07294901802372981,7.191160366533883,0.23066260345196005,0.22827046513440458,0.23308667953155904,4.613252069039201,0.36143558246789687,0.35828240312975296,0.3644800361872461,3.614355824678969,0.5407329025694264,0.5373281931511718,0.5439683891158205,2.7036645128471317,0.6651901565760822,0.6620671865047516,0.6681094307217765,2.2173005219202735,0.7583080443760657,0.7556241472079603,0.760868854459244,1.8957701109401641,0.8302993514904938,0.8281259535743678,0.832352987789076,1.6605987029809877
MIPOD,0.05,srm_residual_cover,10000,0.010543406991273468,0.010393559602433695,0.010702440935365688,0.6362251987077282,0.005491809844970703,0.025230743613779787,0.25592046690410186,0.02387535627303647,0.02351698694686973,0.024234740534507665,2.3875356273036465,0.10842463516979801,0.10723034222917582,0.10971616780375129,2.1684927033959602,0.2024701381904581,0.20057939028763808,0.20445777159135747,2.0247013819045807,0.36135019128849194,0.35866910561029697,0.36407007963881577,1.8067509564424595,0.49123237120578217,0.4882570723717723,0.49417444170208485,1.637441237352607,0.6004495851225147,0.5975080863157327,0.6033271953120756,1.5011239628062865,0.6938990821287738,0.691321213168337,0.6965141237505297,1.3877981642575477
MIPOD,0.05,srm_residual_stego,10000,0.011342028918981412,0.011169113308995428,0.01152353517236306,0.6540026767146337,0.005491809844970703,0.025230743613779787,0.2963796901357997,0.025537674630123956,0.02512844345284266,0.02595580381260108,2.5537674630123957,0.11568604076167421,0.11437642871251752,0.11704981352814942,2.313720815233484,0.2156182207243426,0.21360015218347744,0.2177867860133663,2.1561822072434254,0.3827609759265945,0.37992467157184984,0.3857404418381675,1.9138048796329727,0.5171410022231577,0.514012142333912,0.520318235152004,1.7238033407438593,0.6275754743038253,0.6245909760357772,0.6306286581928978,1.568938685759563,0.7199290578616355,0.7172648008048272,0.7226232876362514,1.439858115723271
MIPOD,0.05,texture_energy_cover,10000,0.010110132818539102,0.009972861116398198,0.010255091801214195,0.6274238250641523,0.005491809844970703,0.025230743613779787,0.23397023505221667,0.023611077866097754,0.023280477211526214,0.023959850031605157,2.361107786609775,0.10619875234899016,0.10503733278897745,0.10744125330045565,2.123975046979803,0.19718978775095397,0.1953681086682677,0.19910982916673423,1.97189787750954,0.3511880085299981,0.34863629713528344,0.35385405549165055,1.7559400426499905,0.47863759383958343,0.47576719867112777,0.48152407782989626,1.5954586461319449,0.5869640425860072,0.584100290960488,0.5897848003780567,1.4674101064650182,0.6809025821327537,0.6782741978795102,0.6835008094689259,1.3618051642655074
